"","source","target","weight","p_value"
"1","Androgen","Tmprss2",11.4906307374,2.38480595753e-47
"2","Androgen","Nkx3-1",10.6225511027,2.20510249279e-44
"3","Androgen","Mboat2",10.4727329721,4.63237583753e-44
"4","Androgen","Sarg",11.3868523945,2.79021042494e-40
"5","Androgen","Slc38a4",7.36380493768,1.25307123795e-39
"6","Androgen","Mtmr9",6.13064559946,2.53440310636e-38
"7","Androgen","Oprk1",-5.62607353634,1.11424476068e-35
"8","Androgen","Adam7",3.11174530687,3.11445587816e-32
"9","Androgen","Abcc4",9.37428478112,2.00952123408e-31
"10","Androgen","Eaf2",6.94490738852,7.84196439434e-31
"11","Androgen","Klk1b8",14.6068407674,9.1960446294e-31
"12","Androgen","Klk1b1",14.6068407674,9.1960446294e-31
"13","Androgen","Klk1b9",14.6068407674,9.1960446294e-31
"14","Androgen","Klk1b11",14.6068407674,9.1960446294e-31
"15","Androgen","Klk1b26",14.6068407674,9.1960446294e-31
"16","Androgen","Klk1b27",14.6068407674,9.1960446294e-31
"17","Androgen","Klk1b21",14.6068407674,9.1960446294e-31
"18","Androgen","Klk1b22",14.6068407674,9.1960446294e-31
"19","Androgen","Klk1b16",14.6068407674,9.1960446294e-31
"20","Androgen","Klk1b24",14.6068407674,9.1960446294e-31
"21","Androgen","Klk1b3",14.6068407674,9.1960446294e-31
"22","Androgen","Klk1b4",14.6068407674,9.1960446294e-31
"23","Androgen","Klk1b5",14.6068407674,9.1960446294e-31
"24","Androgen","Klk1",14.6068407674,9.1960446294e-31
"25","Androgen","Otulinl",7.7082177175,3.93720268298e-30
"26","Androgen","Pex10",5.74946026182,1.41057071519e-29
"27","Androgen","Snai2",19.8215089854,8.15238863253e-29
"28","Androgen","Camkk2",3.73954403123,2.59013000998e-28
"29","Androgen","Bmpr1b",4.63408450531,6.18286300539e-28
"30","Androgen","F5",6.087825897,1.20477649211e-27
"31","Androgen","Lifr",8.6125146918,1.13344863945e-26
"32","Androgen","Mak",5.31367285271,4.17686469859e-26
"33","Androgen","Gnmt",5.67263863695,9.32638494399e-25
"34","Androgen","Mpc2",5.88831328709,1.22053441289e-24
"35","Androgen","Cldn8",7.82616312833,3.29816151774e-24
"36","Androgen","Lpar3",5.84827847574,6.07583983209e-23
"37","Androgen","Ell2",6.5675774538,1.36336902078e-22
